cust_id,customer_type,parent_company_flag,CUST_GRP_ID,BRTH_DT,language
3caf82febb1d4e64b140893d9e89d748115ec5b70455e1bf0d5fd9842018420a,SME,0,eefcfda39744d0f4c7d1f1f6f13a53dbf49f7281de5de0ff43a2c75fe55f167f,2005-2009,ENG
fd0d32ecf697980ff5b750d18fe6f8e9f96f2e31fba130a125cc69e0822086f1,SME,1,,2015-2019,EST
320b10457c9c109c2b4f00b0fecac1cc8cb7c2da8ad936fdf0787790517f411b,SME,1,,2020-2024,EST
d4d7e033ed758bb075ad96435d4afb505b7a4059aa3f374f4790d92e42163c88,SME,1,,2020-2024,EST
e9b8374b1f3ae04cc65672bc5907726d962edb35e057364b66cfa0f7b7f0f9a0,SME,1,,2020-2024,EST
7e279911d836b7faac7e7d002f900586c34a2eab3ffff74a23e97bd6dc113e0f,SME,1,,1995-1999,RUS
d21f764e1f20035a7c9a1405a3c6d1d1e69a0267490a271cd8cc284f151e126e,SME,0,98c025b63690d9a3ede06a48a394dea29157bbac20c3ad3d712d2015e407883e,2020-2024,EST
1e91ce9062f0ea2e8bca5b3a2ecb4944fe0de3c1a26e67339a4dd3162e6ea9ce,SME,0,84ebef7e21dce74cc35fc6468758ff1fb3e0eb31a2d821e8ac8d07e7f71bcaa0,2000-2004,EST
aa15a7d34a9b21e5fad5655a45cb3744b3a995ee9d0b63403bfbbd9c8202eb75,SME,0,cc848c9285c5d1700691737610c7233785fdb880b5539d2be754410247fdb2d9,2015-2019,EST
036404e22158cbfbe3b57dec87c2af420e9119b3aa455d4711d91bfb02211655,SME,0,e3a561c61047351c300c0071a846ae54b8be4bfa2f03bf3ffbdeeaf1d2b4569c,1995-1999,RUS
ca33fae0428f473307618a4a8ef15ce52f3e24df70a5f0223173a6cc5604f0bd,SME,1,,2015-2019,EST
b77fb5941739b36e0730f61fb79156e23037351493fa5bf9d748e984a25f5095,SME,1,,2020-2024,EST
422616b46e51dbb5c6739c01db7d30bbd96491cdfa7b6a367e8287569d88a8b3,SME,1,,2015-2019,EST
5ca14f7e028eac30ae9a6466f1763d48609e80e47d1d779e1eb375a8b4d0943c,SME,1,,2020-2024,EST
ec1f44d4221020a8c36a66c2f4b8363d6635f103cb8e534e615160017631dcf7,SME,1,,2015-2019,EST
3c98e7c0fb2fef28e50ae21f49386195c278d241e5675655881eef77601deb35,SME,0,,2020-2024,RUS
47a32d9231a0570a6ad079851cfda34352aca49d473a63d3bb61abfea8747683,SME,1,,1990-1994,EST
c9f39525545b62b25ac3cae7f85e3f9e98f6f76b97dcad5c75af0b101949ab2f,SME,1,,2000-2004,EST
138b2b0a16860d60e82dd7e2aa8169f7396c89e04c31e3393883f2e21018c920,SME,1,,2000-2004,EST
31c0f12f1ae9e0e1e68b86835417bd10cbfe80900c0284788737988e0ded4db6,SME,1,,2015-2019,EST
763662f70dd4a9ff4be0a74223832c7642d7102bd35837fb1e8ec5b046014f94,SME,0,0b3abbd5b8ac2d2cb9d390d9eab6f96431a843c99d16c8b356aa66d1a2a6fd72,2010-2014,EST
75dcb6e3681402fc4288206bd57e31ff848a6140e4d1777d9b7a622fde3ff045,SME,1,,2000-2004,RUS
796730d8f5a1c8839d5a730c60639babb15879e69eca21224755a95ec042c9a3,SME,1,,2005-2009,EST
073227222dba6004a7b2a633c250a84313bad677cd415f14b7ce70677181033e,SME,1,,2000-2004,EST
5cdd01d58cce9983520de2abb59a9eb0799f8340046e76debe10470644924f30,SME,0,ac9d2961c76ffdc72ac0635898a32a254a9a92ae7b8d88728947759fbdd68d69,2010-2014,EST
c0d8c7cf491b785fdedfee6ffa2e0a3d9b57283a642e4ad9a845211205d53614,SME,1,,2010-2014,EST
880506a0d6bba15899d336bcadc09691a200b5ae48a3fecc887b210f42762e8b,SME,0,55d764e2191a0826d06ed9c3fc9f9e31537d066f2c60747da0384e4a4c5a7e37,2005-2009,EST
